"","x"
"1453","HT-SD"
"1454","HT-SE"
"1455","HU-"
"1456","HU-BA"
"1457","HU-BC"
"1458","HU-BE"
"1459","HU-BK"
"1460","HU-BU"
"1461","HU-BZ"
"1462","HU-CS"
"1463","HU-DE"
"1464","HU-DU"
"1465","HU-EG"
"1466","HU-FE"
"1467","HU-GS"
"1468","HU-GY"
"1469","HU-HB"
"1470","HU-HE"
"1471","HU-HV"
"1472","HU-JN"
"1473","HU-KE"
"1474","HU-KM"
"1475","HU-KV"
"1476","HU-MI"
"1477","HU-NK"
"1478","HU-NO"
"1479","HU-NY"
"1480","HU-PE"
"1481","HU-PS"
"1482","HU-SD"
"1483","HU-SF"
"1484","HU-SH"
"1485","HU-SK"
"1486","HU-SN"
"1487","HU-SO"
"1488","HU-SS"
"1489","HU-ST"
"1490","HU-SZ"
"1491","HU-TB"
"1492","HU-TO"
"1493","HU-VA"
"1494","HU-VE"
"1495","HU-VM"
"1496","HU-ZA"
"1497","HU-ZE"
"1498","ID-"
"1499","ID-IJ"
"1500","ID-JW"
"1501","ID-KA"
"1502","ID-MA"
"1503","ID-NU"
"1504","ID-SL"
"1505","ID-SM"
"1506","IE-"
"1507","IE-C"
"1508","IE-L"
"1509","IE-M"
"1510","IE-U"
"1511","IL-"
"1512","IL-D"
"1513","IL-HA"
"1514","IL-JM"
"1515","IL-M"
"1516","IL-TA"
"1517","IL-Z"
"1518","IM-"
"1519","IN-"
"1520","IN-AN"
"1521","IN-AP"
"1522","IN-AR"
"1523","IN-AS"
"1524","IN-BR"
"1525","IN-CH"
"1526","IN-CT"
"1527","IN-DD"
"1528","IN-DL"
"1529","IN-DN"
"1530","IN-GA"
"1531","IN-GJ"
"1532","IN-HP"
"1533","IN-HR"
"1534","IN-JH"
"1535","IN-JK"
"1536","IN-KA"
"1537","IN-KL"
"1538","IN-LD"
"1539","IN-MH"
"1540","IN-ML"
"1541","IN-MN"
"1542","IN-MP"
"1543","IN-MZ"
"1544","IN-NL"
"1545","IN-OR"
"1546","IN-PB"
"1547","IN-PY"
"1548","IN-RJ"
"1549","IN-SK"
"1550","IN-TN"
"1551","IN-TR"
"1552","IN-TS"
"1553","IN-UL"
"1554","IN-UP"
"1555","IN-WB"
"1556","IO-"
"1557","IQ-"
"1558","IQ-AN"
"1559","IQ-AR"
"1560","IQ-BA"
"1561","IQ-BB"
"1562","IQ-BG"
"1563","IQ-DA"
"1564","IQ-DI"
"1565","IQ-DQ"
"1566","IQ-KA"
"1567","IQ-MA"
"1568","IQ-MU"
"1569","IQ-NA"
"1570","IQ-NI"
"1571","IQ-QA"
"1572","IQ-SD"
"1573","IQ-SU"
"1574","IQ-TS"
"1575","IQ-WA"
"1576","IR-"
"1577","IR-01"
"1578","IR-02"
"1579","IR-03"
"1580","IR-04"
"1581","IR-05"
"1582","IR-06"
"1583","IR-07"
"1584","IR-08"
"1585","IR-10"
"1586","IR-11"
"1587","IR-12"
"1588","IR-13"
"1589","IR-14"
"1590","IR-15"
"1591","IR-16"
"1592","IR-17"
"1593","IR-18"
"1594","IR-19"
"1595","IR-20"
"1596","IR-21"
"1597","IR-22"
"1598","IR-23"
"1599","IR-24"
"1600","IR-25"
"1601","IR-26"
"1602","IR-27"
"1603","IR-28"
"1604","IR-29"
"1605","IR-30"
"1606","IR-31"
"1607","IS-"
"1608","IS-1"
"1609","IS-2"
"1610","IS-3"
"1611","IS-4"
"1612","IS-5"
"1613","IS-6"
"1614","IS-7"
"1615","IS-8"
"1616","IT-"
"1617","IT-21"
"1618","IT-23"
"1619","IT-25"
"1620","IT-32"
"1621","IT-34"
"1622","IT-36"
"1623","IT-42"
"1624","IT-45"
"1625","IT-52"
"1626","IT-55"
"1627","IT-57"
"1628","IT-62"
"1629","IT-65"
"1630","IT-67"
"1631","IT-72"
"1632","IT-75"
"1633","IT-77"
"1634","IT-78"
"1635","IT-82"
"1636","IT-88"
"1637","JE-"
"1638","JM-"
"1639","JM-01"
"1640","JM-02"
"1641","JM-03"
"1642","JM-04"
"1643","JM-05"
"1644","JM-06"
"1645","JM-07"
"1646","JM-08"
"1647","JM-09"
"1648","JM-10"
"1649","JM-11"
"1650","JM-12"
"1651","JM-13"
"1652","JM-14"
"1653","JO-"
"1654","JO-AJ"
"1655","JO-AM"
"1656","JO-AQ"
"1657","JO-AT"
"1658","JO-AZ"
"1659","JO-BA"
"1660","JO-IR"
"1661","JO-JA"
"1662","JO-KA"
"1663","JO-MA"
"1664","JO-MD"
"1665","JO-MN"
"1666","JP-"
"1667","JP-01"
"1668","JP-02"
"1669","JP-03"
"1670","JP-04"
"1671","JP-05"
"1672","JP-06"
"1673","JP-07"
"1674","JP-08"
"1675","JP-09"
"1676","JP-10"
"1677","JP-11"
"1678","JP-12"
"1679","JP-13"
"1680","JP-14"
"1681","JP-15"
"1682","JP-16"
"1683","JP-17"
"1684","JP-18"
"1685","JP-19"
"1686","JP-20"
"1687","JP-21"
"1688","JP-22"
"1689","JP-23"
"1690","JP-24"
"1691","JP-25"
"1692","JP-26"
"1693","JP-27"
"1694","JP-28"
"1695","JP-29"
"1696","JP-30"
"1697","JP-31"
"1698","JP-32"
"1699","JP-33"
"1700","JP-34"
"1701","JP-35"
"1702","JP-36"
"1703","JP-37"
"1704","JP-38"
"1705","JP-39"
"1706","JP-40"
"1707","JP-41"
"1708","JP-42"
"1709","JP-43"
"1710","JP-44"
"1711","JP-45"
"1712","JP-46"
"1713","JP-47"
"1714","KE-"
"1715","KE-110"
"1716","KE-200"
"1717","KE-300"
"1718","KE-400"
"1719","KE-500"
"1720","KE-600"
"1721","KE-700"
"1722","KE-800"
"1723","KG-"
"1724","KG-B"
"1725","KG-C"
"1726","KG-GB"
"1727","KG-J"
"1728","KG-N"
"1729","KG-O"
"1730","KG-T"
"1731","KG-Y"
"1732","KH-"
"1733","KH-1"
"1734","KH-10"
"1735","KH-11"
"1736","KH-12"
"1737","KH-13"
"1738","KH-14"
"1739","KH-15"
"1740","KH-16"
"1741","KH-17"
"1742","KH-18"
"1743","KH-19"
"1744","KH-2"
"1745","KH-20"
"1746","KH-21"
"1747","KH-22"
"1748","KH-23"
"1749","KH-24"
"1750","KH-3"
"1751","KH-4"
"1752","KH-5"
"1753","KH-6"
"1754","KH-7"
"1755","KH-8"
"1756","KH-9"
"1757","KI-"
"1758","KI-G"
"1759","KI-L"
"1760","KI-P"
"1761","KM-"
"1762","KM-A"
"1763","KM-G"
"1764","KM-M"
"1765","KN-"
"1766","KN-K"
"1767","KN-N"
"1768","KP-"
"1769","KP-01"
"1770","KP-02"
"1771","KP-03"
"1772","KP-04"
"1773","KP-05"
"1774","KP-06"
"1775","KP-07"
"1776","KP-08"
"1777","KP-09"
"1778","KP-10"
"1779","KP-13"
"1780","KR-"
"1781","KR-11"
"1782","KR-26"
"1783","KR-27"
"1784","KR-28"
"1785","KR-29"
"1786","KR-30"
"1787","KR-31"
"1788","KR-41"
"1789","KR-42"
"1790","KR-43"
"1791","KR-44"
"1792","KR-45"
"1793","KR-46"
"1794","KR-47"
"1795","KR-48"
"1796","KR-49"
"1797","KW-"
"1798","KW-AH"
"1799","KW-FA"
"1800","KW-HA"
"1801","KW-JA"
"1802","KW-KU"
"1803","KW-MU"
"1804","KY-"
"1805","KY-BT"
"1806","KY-CB"
"1807","KY-EE"
"1808","KY-GT"
"1809","KY-NS"
"1810","KY-SO"
"1811","KY-WB"
"1812","KZ-"
"1813","KZ-AKM"
"1814","KZ-AKT"
"1815","KZ-ALA"
"1816","KZ-ALM"
"1817","KZ-AST"
"1818","KZ-ATY"
"1819","KZ-KAR"
"1820","KZ-KUS"
"1821","KZ-KZY"
"1822","KZ-MAN"
"1823","KZ-PAV"
"1824","KZ-SEV"
"1825","KZ-VOS"
"1826","KZ-YUZ"
"1827","KZ-ZAP"
"1828","KZ-ZHA"
"1829","LA-"
"1830","LA-AT"
"1831","LA-BK"
"1832","LA-BL"
"1833","LA-CH"
"1834","LA-HO"
"1835","LA-KH"
"1836","LA-LM"
"1837","LA-LP"
"1838","LA-OU"
"1839","LA-PH"
"1840","LA-SL"
"1841","LA-SV"
"1842","LA-VI"
"1843","LA-VT"
"1844","LA-XA"
"1845","LA-XE"
"1846","LA-XI"
"1847","LA-XN"
"1848","LB-"
"1849","LB-AK"
"1850","LB-AS"
"1851","LB-BA"
"1852","LB-BH"
"1853","LB-BI"
"1854","LB-JA"
"1855","LB-JL"
"1856","LB-NA"
"1857","LC-"
"1858","LC-01"
"1859","LC-02"
"1860","LC-03"
"1861","LC-04"
"1862","LC-05"
"1863","LC-06"
"1864","LC-07"
"1865","LC-08"
"1866","LC-09"
"1867","LC-10"
"1868","LC-11"
"1869","LI-"
"1870","LI-01"
"1871","LI-02"
"1872","LI-03"
"1873","LI-04"
"1874","LI-05"
"1875","LI-06"
"1876","LI-07"
"1877","LI-08"
"1878","LI-09"
"1879","LI-10"
"1880","LI-11"
"1881","LK-"
"1882","LK-1"
"1883","LK-2"
"1884","LK-3"
"1885","LK-4"
"1886","LK-5"
"1887","LK-6"
"1888","LK-7"
"1889","LK-8"
"1890","LK-9"
"1891","LR-"
"1892","LR-BG"
"1893","LR-BM"
"1894","LR-CM"
"1895","LR-GB"
"1896","LR-GG"
"1897","LR-GK"
"1898","LR-GP"
"1899","LR-LO"
"1900","LR-MG"
"1901","LR-MO"
"1902","LR-MY"
"1903","LR-NI"
"1904","LR-RG"
"1905","LR-RI"
"1906","LR-SI"
"1907","LS-"
"1908","LS-A"
"1909","LS-B"
"1910","LS-C"
"1911","LS-D"
"1912","LS-E"
"1913","LS-F"
"1914","LS-G"
"1915","LS-H"
"1916","LS-J"
"1917","LS-K"
"1918","LT-"
"1919","LT-AL"
"1920","LT-KL"
"1921","LT-KU"
"1922","LT-MR"
"1923","LT-PN"
"1924","LT-SA"
"1925","LT-TA"
"1926","LT-TE"
"1927","LT-UT"
"1928","LT-VL"
"1929","LU-"
"1930","LU-D"
"1931","LU-G"
"1932","LU-L"
"1933","LV-"
"1934","LV-001"
"1935","LV-002"
"1936","LV-003"
"1937","LV-004"
"1938","LV-005"
"1939","LV-006"
"1940","LV-007"
"1941","LV-008"
"1942","LV-009"
"1943","LV-010"
"1944","LV-011"
"1945","LV-012"
"1946","LV-013"
"1947","LV-014"
"1948","LV-015"
"1949","LV-016"
"1950","LV-017"
"1951","LV-018"
"1952","LV-019"
"1953","LV-020"
"1954","LV-021"
"1955","LV-022"
"1956","LV-023"
"1957","LV-024"
"1958","LV-025"
"1959","LV-026"
"1960","LV-027"
"1961","LV-028"
"1962","LV-029"
"1963","LV-030"
"1964","LV-031"
"1965","LV-032"
"1966","LV-033"
"1967","LV-034"
"1968","LV-035"
"1969","LV-036"
"1970","LV-037"
"1971","LV-038"
"1972","LV-039"
"1973","LV-040"
"1974","LV-041"
"1975","LV-042"
"1976","LV-043"
"1977","LV-044"
"1978","LV-045"
"1979","LV-046"
"1980","LV-047"
"1981","LV-048"
"1982","LV-049"
"1983","LV-050"
"1984","LV-051"
"1985","LV-052"
"1986","LV-053"
"1987","LV-054"
"1988","LV-055"
"1989","LV-056"
"1990","LV-057"
"1991","LV-058"
"1992","LV-059"
"1993","LV-060"
"1994","LV-061"
"1995","LV-062"
"1996","LV-063"
"1997","LV-064"
"1998","LV-065"
"1999","LV-066"
"2000","LV-067"
"2001","LV-068"
"2002","LV-069"
"2003","LV-070"
"2004","LV-071"
"2005","LV-072"
"2006","LV-073"
"2007","LV-074"
"2008","LV-075"
"2009","LV-076"
"2010","LV-077"
"2011","LV-078"
"2012","LV-079"
"2013","LV-080"
"2014","LV-081"
"2015","LV-082"
"2016","LV-083"
"2017","LV-084"
"2018","LV-085"
"2019","LV-086"
"2020","LV-087"
"2021","LV-088"
"2022","LV-089"
"2023","LV-090"
"2024","LV-091"
"2025","LV-092"
"2026","LV-093"
"2027","LV-094"
"2028","LV-095"
"2029","LV-096"
"2030","LV-097"
"2031","LV-098"
"2032","LV-099"
"2033","LV-100"
"2034","LV-101"
"2035","LV-102"
"2036","LV-103"
"2037","LV-104"
"2038","LV-105"
"2039","LV-106"
"2040","LV-107"
"2041","LV-108"
"2042","LV-109"
"2043","LV-110"
"2044","LV-DGV"
"2045","LV-JEL"
"2046","LV-JKB"
"2047","LV-JUR"
"2048","LV-LPX"
"2049","LV-REZ"
"2050","LV-RIX"
"2051","LV-VEN"
"2052","LV-VMR"
"2053","LY-"
"2054","LY-AJ"
"2055","LY-BA"
"2056","LY-BU"
"2057","LY-BW"
"2058","LY-DR"
"2059","LY-GD"
"2060","LY-GR"
"2061","LY-GT"
"2062","LY-HZ"
"2063","LY-JA"
"2064","LY-JB"
"2065","LY-JI"
"2066","LY-JU"
"2067","LY-KF"
"2068","LY-MB"
"2069","LY-MI"
"2070","LY-MJ"
"2071","LY-MQ"
"2072","LY-MZ"
"2073","LY-NL"
"2074","LY-NQ"
"2075","LY-QB"
"2076","LY-QT"
"2077","LY-SB"
"2078","LY-SH"
"2079","LY-SR"
"2080","LY-SS"
"2081","LY-TB"
"2082","LY-TM"
"2083","LY-TN"
"2084","LY-WA"
"2085","LY-WD"
"2086","LY-YJ"
"2087","LY-ZA"
"2088","MA-"
"2089","MA-01"
"2090","MA-02"
"2091","MA-03"
"2092","MA-04"
"2093","MA-05"
"2094","MA-06"
"2095","MA-07"
"2096","MA-08"
"2097","MA-09"
"2098","MA-10"
"2099","MA-11"
"2100","MA-12"
"2101","MA-13"
"2102","MA-14"
"2103","MA-15"
"2104","MA-16"
"2105","MC-"
"2106","MD-"
"2107","MD-AN"
"2108","MD-BA"
"2109","MD-BD"
"2110","MD-BR"
"2111","MD-BS"
"2112","MD-CA"
"2113","MD-CH"
"2114","MD-CL"
"2115","MD-CM"
"2116","MD-CR"
"2117","MD-CS"
"2118","MD-CT"
"2119","MD-CU"
"2120","MD-DO"
"2121","MD-DR"
"2122","MD-DU"
"2123","MD-ED"
"2124","MD-FA"
"2125","MD-FL"
"2126","MD-GA"
"2127","MD-GL"
"2128","MD-HI"
"2129","MD-IA"
"2130","MD-LA"
"2131","MD-LE"
"2132","MD-NI"
"2133","MD-OC"
"2134","MD-OR"
"2135","MD-RE"
"2136","MD-RI"
"2137","MD-SD"
"2138","MD-SI"
"2139","MD-SN"
"2140","MD-SO"
"2141","MD-ST"
"2142","MD-SV"
"2143","MD-TA"
"2144","MD-TE"
"2145","MD-TI"
"2146","MD-UN"
"2147","ME-"
"2148","ME-01"
"2149","ME-02"
"2150","ME-03"
"2151","ME-04"
"2152","ME-05"
"2153","ME-06"
"2154","ME-07"
"2155","ME-08"
"2156","ME-09"
"2157","ME-10"
"2158","ME-11"
"2159","ME-12"
"2160","ME-13"
"2161","ME-14"
"2162","ME-15"
"2163","ME-16"
"2164","ME-17"
"2165","ME-18"
"2166","ME-19"
"2167","ME-20"
"2168","ME-21"
"2169","MF-"
"2170","MG-"
"2171","MG-A"
"2172","MG-D"
"2173","MG-F"
"2174","MG-M"
"2175","MG-T"
"2176","MG-U"
"2177","MH-"
"2178","MH-L"
"2179","MH-T"
"2180","MK-"
"2181","MK-01"
"2182","MK-02"
"2183","MK-03"
"2184","MK-04"
"2185","MK-05"
"2186","MK-06"
"2187","MK-07"
"2188","MK-08"
"2189","MK-09"
"2190","MK-10"
"2191","MK-11"
"2192","MK-12"
"2193","MK-13"
"2194","MK-14"
"2195","MK-15"
"2196","MK-16"
"2197","MK-17"
"2198","MK-18"
"2199","MK-19"
"2200","MK-20"
"2201","MK-21"
"2202","MK-22"
"2203","MK-23"
"2204","MK-24"
"2205","MK-25"
"2206","MK-26"
"2207","MK-27"
"2208","MK-28"
"2209","MK-29"
"2210","MK-30"
"2211","MK-31"
"2212","MK-32"
"2213","MK-33"
"2214","MK-34"
"2215","MK-35"
"2216","MK-36"
"2217","MK-37"
"2218","MK-38"
"2219","MK-39"
"2220","MK-40"
"2221","MK-41"
"2222","MK-42"
"2223","MK-43"
"2224","MK-44"
"2225","MK-45"
"2226","MK-46"
"2227","MK-47"
"2228","MK-48"
"2229","MK-49"
"2230","MK-50"
"2231","MK-51"
"2232","MK-52"
"2233","MK-53"
"2234","MK-54"
"2235","MK-55"
"2236","MK-56"
"2237","MK-57"
"2238","MK-58"
"2239","MK-59"
"2240","MK-60"
"2241","MK-61"
"2242","MK-62"
"2243","MK-63"
"2244","MK-64"
"2245","MK-65"
"2246","MK-66"
"2247","MK-67"
"2248","MK-68"
"2249","MK-69"
"2250","MK-70"
"2251","MK-71"
"2252","MK-72"
"2253","MK-73"
"2254","MK-74"
"2255","MK-75"
"2256","MK-76"
"2257","MK-77"
"2258","MK-78"
"2259","MK-79"
"2260","MK-80"
"2261","MK-81"
"2262","MK-82"
"2263","MK-83"
"2264","MK-84"
"2265","ML-"
"2266","ML-1"
"2267","ML-2"
"2268","ML-3"
"2269","ML-4"
"2270","ML-5"
"2271","ML-6"
"2272","ML-7"
"2273","ML-8"
"2274","ML-BKO"
"2275","MM-"
"2276","MM-01"
"2277","MM-02"
"2278","MM-03"
"2279","MM-04"
"2280","MM-05"
"2281","MM-06"
"2282","MM-07"
"2283","MM-11"
"2284","MM-12"
"2285","MM-13"
"2286","MM-14"
"2287","MM-15"
"2288","MM-16"
"2289","MM-17"
"2290","MN-"
"2291","MN-035"
"2292","MN-037"
"2293","MN-039"
"2294","MN-041"
"2295","MN-043"
"2296","MN-046"
"2297","MN-047"
"2298","MN-049"
"2299","MN-051"
"2300","MN-053"
"2301","MN-055"
"2302","MN-057"
"2303","MN-059"
"2304","MN-061"
"2305","MN-063"
"2306","MN-064"
"2307","MN-065"
"2308","MN-067"
"2309","MN-069"
"2310","MN-071"
"2311","MN-073"
"2312","MN-1"
"2313","MO-"
"2314","MP-"
"2315","MP-NI"
"2316","MP-RO"
"2317","MP-SA"
"2318","MP-TI"
"2319","MQ-"
"2320","MR-"
"2321","MR-01"
"2322","MR-02"
"2323","MR-03"
"2324","MR-04"
"2325","MR-05"
"2326","MR-06"
"2327","MR-07"
"2328","MR-08"
"2329","MR-09"
"2330","MR-10"
"2331","MR-11"
"2332","MR-12"
"2333","MR-NKC"
"2334","MS-"
"2335","MT-"
"2336","MT-01"
"2337","MT-02"
"2338","MT-03"
"2339","MT-04"
"2340","MT-05"
"2341","MT-06"
"2342","MT-07"
"2343","MT-08"
"2344","MT-09"
"2345","MT-10"
"2346","MT-11"
"2347","MT-12"
"2348","MT-13"
"2349","MT-14"
"2350","MT-15"
"2351","MT-16"
"2352","MT-17"
"2353","MT-18"
"2354","MT-19"
"2355","MT-20"
"2356","MT-21"
"2357","MT-22"
"2358","MT-23"
"2359","MT-24"
"2360","MT-25"
"2361","MT-26"
"2362","MT-27"
"2363","MT-28"
"2364","MT-29"
"2365","MT-30"
"2366","MT-31"
"2367","MT-32"
"2368","MT-33"
"2369","MT-34"
"2370","MT-35"
"2371","MT-36"
"2372","MT-37"
"2373","MT-38"
"2374","MT-39"
"2375","MT-40"
"2376","MT-41"
"2377","MT-42"
"2378","MT-43"
"2379","MT-44"
"2380","MT-45"
"2381","MT-46"
"2382","MT-47"
"2383","MT-48"
"2384","MT-49"
"2385","MT-50"
"2386","MT-51"
"2387","MT-52"
"2388","MT-53"
"2389","MT-54"
"2390","MT-55"
"2391","MT-56"
"2392","MT-57"
"2393","MT-58"
"2394","MT-59"
"2395","MT-60"
"2396","MT-61"
"2397","MT-62"
"2398","MT-63"
"2399","MT-64"
"2400","MT-65"
"2401","MT-66"
"2402","MT-67"
"2403","MT-68"
"2404","MU-"
"2405","MU-AG"
"2406","MU-BL"
"2407","MU-BR"
"2408","MU-CC"
"2409","MU-CU"
"2410","MU-FL"
"2411","MU-GP"
"2412","MU-MO"
"2413","MU-PA"
"2414","MU-PL"
"2415","MU-PU"
"2416","MU-PW"
"2417","MU-QB"
"2418","MU-RO"
"2419","MU-RR"
"2420","MU-SA"
"2421","MU-VP"
"2422","MV-"
"2423","MV-01"
"2424","MV-02"
"2425","MV-03"
"2426","MV-04"
"2427","MV-05"
"2428","MV-07"
"2429","MV-08"
"2430","MV-12"
"2431","MV-13"
"2432","MV-14"
"2433","MV-17"
"2434","MV-20"
"2435","MV-23"
"2436","MV-24"
"2437","MV-25"
"2438","MV-26"
"2439","MV-27"
"2440","MV-28"
"2441","MV-29"
"2442","MV-MLE"
"2443","MW-"
"2444","MW-C"
"2445","MW-N"
"2446","MW-S"
"2447","MX-"
"2448","MX-AGU"
"2449","MX-BCN"
"2450","MX-BCS"
"2451","MX-CAM"
"2452","MX-CHH"
"2453","MX-CHP"
"2454","MX-COA"
"2455","MX-COL"
"2456","MX-DIF"
"2457","MX-DUR"
"2458","MX-GRO"
"2459","MX-GUA"
"2460","MX-HID"
"2461","MX-JAL"
"2462","MX-MEX"
"2463","MX-MIC"
"2464","MX-MOR"
"2465","MX-NAY"
"2466","MX-NLE"
"2467","MX-OAX"
"2468","MX-PUE"
"2469","MX-QUE"
"2470","MX-ROO"
"2471","MX-SIN"
"2472","MX-SLP"
"2473","MX-SON"
"2474","MX-TAB"
"2475","MX-TAM"
"2476","MX-TLA"
"2477","MX-VER"
"2478","MX-YUC"
"2479","MX-ZAC"
"2480","MY-"
"2481","MY-01"
"2482","MY-02"
"2483","MY-03"
"2484","MY-04"
"2485","MY-05"
"2486","MY-06"
"2487","MY-07"
"2488","MY-08"
"2489","MY-09"
"2490","MY-10"
"2491","MY-11"
"2492","MY-12"
"2493","MY-13"
"2494","MY-14"
"2495","MY-15"
"2496","MY-16"
"2497","MZ-"
"2498","MZ-A"
"2499","MZ-B"
"2500","MZ-G"
"2501","MZ-I"
"2502","MZ-L"
"2503","MZ-N"
"2504","MZ-P"
"2505","MZ-Q"
"2506","MZ-S"
"2507","MZ-T"
"2508","NA-"
"2509","NA-CA"
"2510","NA-ER"
"2511","NA-HA"
"2512","NA-KA"
"2513","NA-KH"
"2514","NA-KU"
"2515","NA-OD"
"2516","NA-OH"
"2517","NA-OK"
"2518","NA-ON"
"2519","NA-OS"
"2520","NA-OT"
"2521","NA-OW"
"2522","NC-"
"2523","NE-"
"2524","NE-1"
"2525","NE-2"
"2526","NE-3"
"2527","NE-4"
"2528","NE-5"
"2529","NE-6"
"2530","NE-7"
"2531","NE-8"
"2532","NF-"
"2533","NG-"
"2534","NG-AB"
"2535","NG-AD"
"2536","NG-AK"
"2537","NG-AN"
"2538","NG-BA"
"2539","NG-BE"
"2540","NG-BO"
"2541","NG-BY"
"2542","NG-CR"
"2543","NG-DE"
"2544","NG-EB"
"2545","NG-ED"
"2546","NG-EK"
"2547","NG-EN"
"2548","NG-FC"
"2549","NG-GO"
"2550","NG-IM"
"2551","NG-JI"
"2552","NG-KD"
"2553","NG-KE"
"2554","NG-KN"
"2555","NG-KO"
"2556","NG-KT"
"2557","NG-KW"
"2558","NG-LA"
"2559","NG-NA"
"2560","NG-NI"
"2561","NG-OG"
"2562","NG-ON"
"2563","NG-OS"
"2564","NG-OY"
"2565","NG-PL"
"2566","NG-RI"
"2567","NG-SO"
"2568","NG-TA"
"2569","NG-YO"
"2570","NG-ZA"
"2571","NI-"
"2572","NI-AN"
"2573","NI-AS"
"2574","NI-BO"
"2575","NI-CA"
"2576","NI-CI"
"2577","NI-CO"
"2578","NI-ES"
"2579","NI-GR"
"2580","NI-JI"
"2581","NI-LE"
"2582","NI-MD"
"2583","NI-MN"
"2584","NI-MS"
"2585","NI-MT"
"2586","NI-NS"
"2587","NI-RI"
"2588","NI-SJ"
"2589","NL-"
"2590","NL-DR"
"2591","NL-FL"
"2592","NL-FR"
"2593","NL-GE"
"2594","NL-GR"
"2595","NL-LI"
"2596","NL-NB"
"2597","NL-NH"
"2598","NL-OV"
"2599","NL-UT"
"2600","NL-ZE"
"2601","NL-ZH"
"2602","NO-"
"2603","NO-01"
"2604","NO-02"
"2605","NO-03"
"2606","NO-04"
"2607","NO-05"
"2608","NO-06"
"2609","NO-07"
"2610","NO-08"
"2611","NO-09"
"2612","NO-10"
"2613","NO-11"
"2614","NO-12"
"2615","NO-14"
"2616","NO-15"
"2617","NO-16"
"2618","NO-17"
"2619","NO-18"
"2620","NO-19"
"2621","NO-20"
"2622","NO-22"
"2623","NP-"
"2624","NP-1"
"2625","NP-2"
"2626","NP-3"
"2627","NP-4"
"2628","NP-5"
"2629","NR-"
"2630","NR-01"
"2631","NR-02"
"2632","NR-03"
"2633","NR-04"
"2634","NR-05"
"2635","NR-06"
"2636","NR-07"
"2637","NR-08"
"2638","NR-09"
"2639","NR-10"
"2640","NR-11"
"2641","NR-12"
"2642","NR-13"
"2643","NR-14"
"2644","NU-"
"2645","NZ-"
"2646","NZ-AUK"
"2647","NZ-BOP"
"2648","NZ-CAN"
"2649","NZ-CI"
"2650","NZ-GIS"
"2651","NZ-HKB"
"2652","NZ-MBH"
"2653","NZ-MWT"
"2654","NZ-NSN"
"2655","NZ-NTL"
"2656","NZ-OTA"
"2657","NZ-STL"
"2658","NZ-TAS"
"2659","NZ-TKI"
"2660","NZ-WGN"
"2661","NZ-WKO"
"2662","NZ-WTC"
"2663","OM-"
"2664","OM-BA"
"2665","OM-BU"
"2666","OM-DA"
"2667","OM-JA"
"2668","OM-MA"
"2669","OM-MU"
"2670","OM-SH"
"2671","OM-WU"
"2672","OM-ZA"
"2673","OM-ZU"
"2674","PA-"
"2675","PA-1"
"2676","PA-2"
"2677","PA-3"
"2678","PA-4"
"2679","PA-5"
"2680","PA-6"
"2681","PA-7"
"2682","PA-8"
"2683","PA-9"
"2684","PA-EM"
"2685","PA-KY"
"2686","PA-NB"
"2687","PE-"
"2688","PE-AMA"
"2689","PE-ANC"
"2690","PE-APU"
"2691","PE-ARE"
"2692","PE-AYA"
"2693","PE-CAJ"
"2694","PE-CAL"
"2695","PE-CUS"
"2696","PE-HUC"
"2697","PE-HUV"
"2698","PE-ICA"
"2699","PE-JUN"
"2700","PE-LAL"
"2701","PE-LAM"
"2702","PE-LIM"
"2703","PE-LOR"
"2704","PE-MDD"
"2705","PE-MOQ"
"2706","PE-PAS"
"2707","PE-PIU"
"2708","PE-PUN"
"2709","PE-SAM"
"2710","PE-TAC"
"2711","PE-TUM"
"2712","PE-UCA"
"2713","PF-"
"2714","PF-LI"
"2715","PF-MI"
"2716","PF-TG"
"2717","PF-TI"
"2718","PF-WI"
"2719","PG-"
"2720","PG-CPK"
"2721","PG-CPM"
"2722","PG-EBR"
"2723","PG-EHG"
"2724","PG-EPW"
"2725","PG-ESW"
"2726","PG-GPK"
"2727","PG-MBA"
"2728","PG-MPL"
"2729","PG-MPM"
"2730","PG-MRL"
"2731","PG-NCD"
"2732","PG-NIK"
"2733","PG-NPP"
"2734","PG-NSA"
"2735","PG-SAN"
"2736","PG-SHM"
"2737","PG-WBK"
"2738","PG-WHM"
"2739","PG-WPD"
"2740","PH-"
"2741","PH-00"
"2742","PH-ABR"
"2743","PH-AGN"
"2744","PH-AGS"
"2745","PH-AKL"
"2746","PH-ALB"
"2747","PH-ANT"
"2748","PH-APA"
"2749","PH-AUR"
"2750","PH-BAN"
"2751","PH-BAS"
"2752","PH-BEN"
"2753","PH-BIL"
"2754","PH-BOH"
"2755","PH-BTG"
"2756","PH-BTN"
"2757","PH-BUK"
"2758","PH-BUL"
"2759","PH-CAG"
"2760","PH-CAM"
"2761","PH-CAN"
"2762","PH-CAP"
"2763","PH-CAS"
"2764","PH-CAT"
"2765","PH-CAV"
"2766","PH-CEB"
"2767","PH-COM"
"2768","PH-DAC"
"2769","PH-DAO"
"2770","PH-DAS"
"2771","PH-DAV"
"2772","PH-DIN"
"2773","PH-EAS"
"2774","PH-GUI"
"2775","PH-IFU"
"2776","PH-ILI"
"2777","PH-ILN"
"2778","PH-ILS"
"2779","PH-ISA"
"2780","PH-KAL"
